,start,end,livetime,livetime_fraction,delivered_spills,collected_spills,delivered_pot,collected_pot
0,2024-12-09 00:00:00+00:00,2024-12-09 04:00:00+00:00,0.0,0.0,43046,0,31.27609218112962,0.0
1,2024-12-09 04:00:00+00:00,2024-12-09 08:00:00+00:00,0.0,0.0,43050,0,39.68584499281005,0.0
2,2024-12-09 08:00:00+00:00,2024-12-09 12:00:00+00:00,0.0,0.0,43042,0,34.504457017197,0.0
3,2024-12-09 12:00:00+00:00,2024-12-09 16:00:00+00:00,0.0,0.0,43051,0,31.69060509886816,0.0
4,2024-12-09 16:00:00+00:00,2024-12-09 20:00:00+00:00,3689.0,0.2561805555555556,43045,11028,34.039619226507114,10.664093383550153
5,2024-12-09 20:00:00+00:00,2024-12-10 00:00:00+00:00,445.0,0.03090277777777778,43054,1329,35.074211006999946,1.524619970663198
6,2024-12-10 00:00:00+00:00,2024-12-10 04:00:00+00:00,0.0,0.0,43050,0,33.12379579659712,0.0
7,2024-12-10 04:00:00+00:00,2024-12-10 08:00:00+00:00,0.0,0.0,43056,0,32.466513382084756,0.0
8,2024-12-10 08:00:00+00:00,2024-12-10 12:00:00+00:00,0.0,0.0,43053,0,30.22055586095336,0.0
9,2024-12-10 12:00:00+00:00,2024-12-10 16:00:00+00:00,0.0,0.0,20630,0,13.87470132616614,0.0
10,2024-12-10 16:00:00+00:00,2024-12-10 20:00:00+00:00,3060.0,0.2125,0,0,0.0,0.0
11,2024-12-10 20:00:00+00:00,2024-12-11 00:00:00+00:00,11485.0,0.7975694444444444,40434,33040,54687.04735809264,33117.2702778565
12,2024-12-11 00:00:00+00:00,2024-12-11 04:00:00+00:00,10878.0,0.7554166666666666,70559,54391,234217.36146234188,176282.8725766821
13,2024-12-11 04:00:00+00:00,2024-12-11 08:00:00+00:00,14400.0,1.0,72006,72006,234494.08663140202,234494.08663140202
14,2024-12-11 08:00:00+00:00,2024-12-11 12:00:00+00:00,13971.0,0.9702083333333333,71995,69853,235757.07698519158,228232.40665133914
15,2024-12-11 12:00:00+00:00,2024-12-11 16:00:00+00:00,14400.0,1.0,71996,71996,227660.6382873404,227660.6382873404
16,2024-12-11 16:00:00+00:00,2024-12-11 20:00:00+00:00,13612.0,0.9452777777777778,72005,68066,248135.039631047,234444.96196410304
17,2024-12-11 20:00:00+00:00,2024-12-12 00:00:00+00:00,13377.0,0.9289583333333333,71987,66875,247313.22902722677,229495.6568491436
18,2024-12-12 00:00:00+00:00,2024-12-12 04:00:00+00:00,14400.0,1.0,71998,71998,285922.91999051877,285922.91999051877
19,2024-12-12 04:00:00+00:00,2024-12-12 08:00:00+00:00,14400.0,1.0,71990,71990,293455.7699553016,293455.7699553016
20,2024-12-12 08:00:00+00:00,2024-12-12 12:00:00+00:00,14400.0,1.0,71993,71993,298769.8224654467,298769.8224654467
21,2024-12-12 12:00:00+00:00,2024-12-12 16:00:00+00:00,13499.0,0.9374305555555555,72004,67498,306195.9650532537,287298.7937612958
22,2024-12-12 16:00:00+00:00,2024-12-12 20:00:00+00:00,12342.0,0.8570833333333333,72013,61699,241039.4695660476,208385.8119886803
23,2024-12-12 20:00:00+00:00,2024-12-13 00:00:00+00:00,12443.0,0.8640972222222222,71989,62208,305612.9655506997,267250.04094703
24,2024-12-13 00:00:00+00:00,2024-12-13 04:00:00+00:00,14400.0,1.0,71967,71967,295797.3294161381,295797.3294161381
25,2024-12-13 04:00:00+00:00,2024-12-13 08:00:00+00:00,14400.0,1.0,71988,71988,279638.6038588268,279638.6038588268
26,2024-12-13 08:00:00+00:00,2024-12-13 12:00:00+00:00,14400.0,1.0,71993,71993,283589.63697506953,283589.63697506953
27,2024-12-13 12:00:00+00:00,2024-12-13 16:00:00+00:00,13777.0,0.9567361111111111,72007,68892,287989.21226930316,275396.3781078632
28,2024-12-13 16:00:00+00:00,2024-12-13 20:00:00+00:00,13977.0,0.970625,72000,69887,247883.85968035765,239373.37246852656
29,2024-12-13 20:00:00+00:00,2024-12-14 00:00:00+00:00,12504.0,0.8683333333333333,71996,62517,173630.41809039173,158101.81927934766
30,2024-12-14 00:00:00+00:00,2024-12-14 04:00:00+00:00,14400.0,1.0,71983,71983,306313.5621137667,306313.5621137667
31,2024-12-14 04:00:00+00:00,2024-12-14 08:00:00+00:00,14400.0,1.0,71972,71972,312761.0603048536,312761.0603048536
